# Column descriptions
# time - UTC
# observation_id - CPS internal ID
# tel - Instrument
# bjd - BJD_TDB
# mnvel - Relative RV [m/s]
# errvel - RV uncertainty [m/s]
# cts - Counts in raw 1D spectrum near 5500 Angstroms [e-]
# chi - Median reduced chi-squared for the observation over all chunks
# bc - Barycentric velocity at flux-weighted midpoint [m/s]
# svalue - Ca_HK S value
# svalue_err - Ca_HK S value uncertainty
# trv - Telluric calibrated absolute RV [km/s]
# trv_err - Uncertainty in telluric-calibrated absolute RV [km/s]
time,observation_id,tel,bjd,mnvel,errvel,cts,mdchi,bc,svalue,svalue_err,trv,trv_err
2019-08-14 14:22:45.755,j338.116,hires_j,2458710.099141,-4.38122571697624,1.40979421138763,30705.0,1.09335136413574,21462.639,0.1422,0.001,41.48,0.1
2019-08-18 13:03:26.514,j339.113,hires_j,2458714.044057,-6.12572340509475,1.26600682735443,37295.0,1.12148928642273,20546.232,0.1338,0.001,41.38,0.1
2019-08-19 14:08:52.670,j339.304,hires_j,2458715.089498,-6.6800087252058,1.25437831878662,38630.0,1.13958179950714,20135.574,0.1381,0.001,41.5,0.1
2019-08-20 14:19:10.436,j339.501,hires_j,2458716.096649,-13.532636114929,1.43614733219147,28551.0,1.08914971351624,19826.452,0.1337,0.001,41.54,0.1
2019-08-24 14:12:03.564,j340.82,hires_j,2458720.091708,-8.49997115639559,1.61340284347534,27464.0,1.10829961299896,18628.495,0.1352,0.001,41.43,0.1
2019-08-27 14:31:35.373,j341.125,hires_j,2458723.105271,-0.58873543677471,1.49602270126343,28501.0,1.10291993618011,17616.943,0.1347,0.001,41.29,0.1
2019-08-28 13:21:30.166,j341.305,hires_j,2458724.056599,6.15466938287815,1.3980633020401,34561.0,1.1326801776886,17424.011,0.1331,0.001,41.33,0.1
2019-09-06 13:28:53.197,j342.66,hires_j,2458733.061727,0.72982957552928,1.44101071357727,34879.0,1.15943586826324,14147.572,0.1377,0.001,41.48,0.1
2019-09-11 10:10:33.734,j343.94,hires_j,2458737.924002,-6.82428017108407,1.80287933349609,25172.0,1.10837876796722,12579.999,0.1359,0.001,41.39,0.1
2019-09-12 12:54:18.619,j343.288,hires_j,2458739.037716,-7.63814022132955,1.42363047599792,37739.0,1.18144631385803,11860.159,0.1352,0.001,41.37,0.1
2019-09-16 12:08:46.261,j344.76,hires_j,2458743.006091,1.42389130888809,1.79841601848602,25889.0,1.13433170318604,10313.691,0.1329,0.001,41.38,0.1
2019-09-17 11:48:51.097,j344.197,hires_j,2458743.992258,-1.13618033884818,1.68003785610199,26098.0,1.12906551361084,9936.536,0.1329,0.001,41.05,0.1
2019-09-20 12:15:48.152,j345.126,hires_j,2458747.010974,3.31886284380042,1.40686166286469,38744.0,1.1709395647049,8604.057,0.1365,0.001,,
